Fish_ID,Min_dist,Time_within_30cm,Total_time,Proportion_within_30cm,Group_size,Trial_ID,N_inspections
0,0.00292317,64,341,0.187683284,20,during-20-1512,16
1,0.002341829,127,361,0.351800554,20,during-20-1512,13
2,0.000591714,106,357,0.296918768,20,during-20-1512,15
3,0.037746523,84,351,0.239316239,20,during-20-1512,22
4,0.002676191,111,355,0.312676056,20,during-20-1512,25
5,0.005465025,144,384,0.375,20,during-20-1512,23
6,0.001345621,96,369,0.260162602,20,during-20-1512,7
7,0.004025377,70,347,0.201729107,20,during-20-1512,17
8,0.00314509,77,348,0.221264368,20,during-20-1512,13
9,0.002536576,74,366,0.202185792,20,during-20-1512,14
10,0.000657036,130,378,0.343915344,20,during-20-1512,11
11,0.003145854,118,365,0.323287671,20,during-20-1512,15
12,0.016598087,89,376,0.236702128,20,during-20-1512,22
13,0.003905538,87,347,0.250720461,20,during-20-1512,12
14,0.003674988,113,349,0.323782235,20,during-20-1512,13
15,0.006050892,78,330,0.236363636,20,during-20-1512,8
16,2.853931343,53,277,0.19133574,20,during-20-1512,12
17,0.901594652,22,401,0.054862843,20,during-20-1512,5
18,0.001702997,89,280,0.317857143,20,during-20-1512,11
19,0.009081306,95,392,0.242346939,20,during-20-1512,24
0,3.12787218,70,364,0.192307692,20,during-20-1112,15
1,6.575931512,86,360,0.238888889,20,during-20-1112,14
2,7.168542228,75,370,0.202702703,20,during-20-1112,16
3,3.768814495,66,325,0.203076923,20,during-20-1112,18
4,7.949034989,65,311,0.209003215,20,during-20-1112,15
5,7.441825404,94,362,0.259668508,20,during-20-1112,13
6,2.721055872,52,311,0.167202572,20,during-20-1112,13
7,6.309966106,73,346,0.210982659,20,during-20-1112,15
8,7.138767609,78,375,0.208,20,during-20-1112,15
9,5.831933043,106,360,0.294444444,20,during-20-1112,16
10,4.170889631,209,396,0.527777778,20,during-20-1112,22
11,3.216908111,86,369,0.233062331,20,during-20-1112,14
12,5.605491786,69,343,0.201166181,20,during-20-1112,13
13,4.622761775,72,344,0.209302326,20,during-20-1112,17
14,4.80718045,73,349,0.209169054,20,during-20-1112,16
15,6.325141073,88,360,0.244444444,20,during-20-1112,19
16,2.945419145,59,368,0.160326087,20,during-20-1112,11
17,3.385833071,69,349,0.197707736,20,during-20-1112,15
18,5.459354455,79,369,0.214092141,20,during-20-1112,12
19,3.539335371,71,360,0.197222222,20,during-20-1112,13
0,0,95,346,0.274566474,20,during-20-0912,17
1,0,126,388,0.324742268,20,during-20-0912,26
2,0,102,349,0.29226361,20,during-20-0912,24
3,0,115,366,0.31420765,20,during-20-0912,25
4,0,77,344,0.223837209,20,during-20-0912,19
5,1.495212562,86,329,0.261398176,20,during-20-0912,17
6,0,90,376,0.239361702,20,during-20-0912,18
7,0,92,366,0.25136612,20,during-20-0912,23
8,0,103,344,0.299418605,20,during-20-0912,22
9,0.391860502,107,377,0.283819629,20,during-20-0912,20
10,0,93,348,0.267241379,20,during-20-0912,21
11,0,119,390,0.305128205,20,during-20-0912,23
12,0,113,338,0.334319527,20,during-20-0912,17
13,0,93,375,0.248,20,during-20-0912,22
14,1.323419856,94,375,0.250666667,20,during-20-0912,22
15,0.005913208,114,374,0.304812834,20,during-20-0912,17
16,0,91,310,0.293548387,20,during-20-0912,20
17,1.418109517,110,340,0.323529412,20,during-20-0912,25
18,1.468828524,93,354,0.262711864,20,during-20-0912,20
19,1.661206112,100,376,0.265957447,20,during-20-0912,23
0,0,63,394,0.159898477,20,during-20-0612,19
1,4.99085154,60,338,0.177514793,20,during-20-0612,15
2,6.908963207,42,365,0.115068493,20,during-20-0612,11
3,5.707448034,44,363,0.121212121,20,during-20-0612,10
4,6.430531563,49,362,0.135359116,20,during-20-0612,12
5,0.003102209,68,360,0.188888889,20,during-20-0612,12
6,0.003055029,58,374,0.155080214,20,during-20-0612,16
7,2.772327715,51,362,0.140883978,20,during-20-0612,12
8,0.050024655,53,371,0.142857143,20,during-20-0612,15
9,0,72,358,0.201117318,20,during-20-0612,15
10,7.607824664,40,399,0.100250627,20,during-20-0612,12
11,0,73,382,0.191099476,20,during-20-0612,11
12,0,64,349,0.183381089,20,during-20-0612,10
13,2.090789454,60,347,0.172910663,20,during-20-0612,13
14,0,65,371,0.175202156,20,during-20-0612,9
15,0,53,364,0.145604396,20,during-20-0612,8
16,5.95455924,46,377,0.122015915,20,during-20-0612,10
17,0.008088016,59,362,0.162983425,20,during-20-0612,12
18,3.090409467,45,370,0.121621622,20,during-20-0612,12
19,6.513854128,48,368,0.130434783,20,during-20-0612,11
0,0.010547424,33,237,0.139240506,20,during-20-0212,10
1,3.033228426,47,267,0.176029963,20,during-20-0212,9
2,0.004142089,38,238,0.159663866,20,during-20-0212,10
3,0,44,268,0.164179104,20,during-20-0212,9
4,0.004035864,38,233,0.163090129,20,during-20-0212,6
5,0.029080398,26,241,0.107883817,20,during-20-0212,9
6,0.025459083,45,345,0.130434783,20,during-20-0212,11
7,0,34,259,0.131274131,20,during-20-0212,8
8,7.051260829,36,271,0.132841328,20,during-20-0212,8
9,0.02810437,37,296,0.125,20,during-20-0212,10
10,0.013717288,32,249,0.128514056,20,during-20-0212,7
11,0.008754456,44,307,0.143322476,20,during-20-0212,15
12,0,41,266,0.154135338,20,during-20-0212,9
13,0.009839181,49,264,0.185606061,20,during-20-0212,9
14,0.006735466,43,257,0.167315175,20,during-20-0212,6
15,7.014555568,34,252,0.134920635,20,during-20-0212,11
16,0.009406003,43,272,0.158088235,20,during-20-0212,10
17,0.003518196,44,246,0.178861789,20,during-20-0212,8
18,0.005339314,42,266,0.157894737,20,during-20-0212,9
19,0.01976082,37,247,0.149797571,20,during-20-0212,7
0,20.83093561,10,241,0.041493776,10,during-10-1212,4
1,14.53140496,9,203,0.044334975,10,during-10-1212,2
2,4.563154205,14,205,0.068292683,10,during-10-1212,5
3,8.963083718,17,248,0.068548387,10,during-10-1212,4
4,0.035463426,15,207,0.072463768,10,during-10-1212,5
5,12.58505875,15,198,0.075757576,10,during-10-1212,4
6,10.21196583,7,220,0.031818182,10,during-10-1212,3
7,18.511926,8,258,0.031007752,10,during-10-1212,4
8,4.521157653,17,250,0.068,10,during-10-1212,5
9,14.5095287,3,243,0.012345679,10,during-10-1212,2
0,4.132869715,54,220,0.245454545,10,during-10-3011,7
1,1.428267748,68,219,0.310502283,10,during-10-3011,9
2,4.08586465,53,199,0.266331658,10,during-10-3011,8
3,2.024248527,66,231,0.285714286,10,during-10-3011,9
4,4.932896007,54,237,0.227848101,10,during-10-3011,8
5,1.642964885,60,235,0.255319149,10,during-10-3011,11
6,3.10421922,59,224,0.263392857,10,during-10-3011,7
7,0.716743519,76,282,0.269503546,10,during-10-3011,16
8,1.510844115,50,222,0.225225225,10,during-10-3011,11
9,3.930366691,53,207,0.256038647,10,during-10-3011,10
0,0.006762137,21,268,0.078358209,10,during-10-0812,6
1,0,29,230,0.126086957,10,during-10-0812,8
2,16.69105927,23,263,0.087452471,10,during-10-0812,8
3,0.004701986,16,327,0.048929664,10,during-10-0812,8
4,8.6128899,23,235,0.09787234,10,during-10-0812,7
5,0.0044588,23,236,0.097457627,10,during-10-0812,6
6,0.010777714,23,252,0.091269841,10,during-10-0812,9
7,8.278905897,23,230,0.1,10,during-10-0812,9
8,0.029532252,17,260,0.065384615,10,during-10-0812,7
9,0.004646259,14,258,0.054263566,10,during-10-0812,5
0,2.063716548,37,229,0.161572052,10,during-10-0312,6
1,1.897442685,39,217,0.179723502,10,during-10-0312,6
2,2.415803115,34,214,0.158878505,10,during-10-0312,6
3,7.33170384,25,199,0.125628141,10,during-10-0312,5
4,1.868789201,42,234,0.179487179,10,during-10-0312,8
5,1.418735525,52,216,0.240740741,10,during-10-0312,7
6,1.635977586,37,213,0.17370892,10,during-10-0312,5
7,7.777362624,38,206,0.184466019,10,during-10-0312,7
8,3.932174445,40,243,0.164609053,10,during-10-0312,8
9,2.220802625,35,233,0.150214592,10,during-10-0312,7
0,0.017971113,25,145,0.172413793,10,during-10-1312,5
1,0.215647456,31,264,0.117424242,10,during-10-1312,11
2,0.013908111,47,256,0.18359375,10,during-10-1312,13
3,1.593620742,23,244,0.094262295,10,during-10-1312,6
4,7.820811835,18,145,0.124137931,10,during-10-1312,4
5,0.26244511,17,172,0.098837209,10,during-10-1312,4
6,6.201777155,27,196,0.137755102,10,during-10-1312,5
7,0.557093672,36,160,0.225,10,during-10-1312,9
8,1.733995764,29,179,0.162011173,10,during-10-1312,3
9,2.711865471,27,175,0.154285714,10,during-10-1312,3
0,10.53821929,10,107,0.093457944,5,during-5-2911,3
1,30.5803025,0,98,0,5,during-5-2911,0
2,5.402319251,40,284,0.14084507,5,during-5-2911,11
3,5.378298612,20,238,0.084033613,5,during-5-2911,4
4,19.6280215,8,127,0.062992126,5,during-5-2911,2
0,0.483937087,65,337,0.192878338,5,during-5-0712,13
1,0.560383166,71,337,0.210682493,5,during-5-0712,9
2,0.32344515,72,354,0.203389831,5,during-5-0712,11
3,0.242609958,70,345,0.202898551,5,during-5-0712,9
4,0.249292014,65,347,0.187319885,5,during-5-0712,13
0,0,126,265,0.475471698,5,during-5-1412,11
1,0.011401924,169,320,0.528125,5,during-5-1412,12
2,0.697955543,174,299,0.581939799,5,during-5-1412,8
3,0,53,246,0.215447154,5,during-5-1412,9
4,0.002571963,127,248,0.512096774,5,during-5-1412,11
0,6.959767503,54,262,0.20610687,5,during-5-1012,4
1,2.060644163,61,245,0.248979592,5,during-5-1012,5
2,0.016125152,71,324,0.219135802,5,during-5-1012,9
3,4.046244397,58,275,0.210909091,5,during-5-1012,6
4,6.566139792,54,261,0.206896552,5,during-5-1012,4
0,6.834895039,68,263,0.258555133,5,during-5-0412,9
1,5.22335083,69,260,0.265384615,5,during-5-0412,10
2,2.149673598,63,253,0.249011858,5,during-5-0412,9
3,5.161847492,68,240,0.283333333,5,during-5-0412,9
4,4.970773603,72,260,0.276923077,5,during-5-0412,9